episode,reward,moves,checks,mates
608,-2.71,150,3,0
609,-1.23,36,1,0
610,-5.54,150,0,0
611,-5.87,135,0,0
612,-1.12,49,2,0
613,-3.24,150,0,0
614,-1.22,15,0,0
615,-1.54,46,0,0
616,-0.57,38,0,0
617,-2.45,101,0,0
618,-1.96,49,0,0
619,-1.99,71,1,0
620,-2.33,48,1,0
621,-1.62,53,0,0
622,-3.71,96,0,0
623,-5.68,150,2,0
624,-1.29,17,0,0
625,-2.37,150,0,0
626,-1.52,20,0,0
627,-3.09,46,0,0
628,-3.59,136,0,0
629,-1.05,69,0,0
630,-1.75,57,1,0
631,-2.42,42,0,0
632,-2.76,56,0,0
633,-2.72,115,1,0
634,-4.71,150,1,0
635,-1.13,10,0,0
636,-2.52,64,0,0
637,-1.91,45,0,0
638,-1.86,56,1,0
639,-5.39,150,0,0
640,-4.05,150,1,0
641,-3.19,99,0,0
642,-3.88,150,0,0
643,-4.33,150,0,0
644,-1.54,79,0,0
645,-2.79,52,0,0
646,-2.5,64,0,0
647,-1.09,4,0,0
648,-2.31,104,0,0
649,-1.6,93,0,0
650,-2.21,46,0,0
651,-3.17,102,0,0
652,-0.55,36,0,0
653,-1.59,59,0,0
654,-5.19,150,1,0
655,-0.52,68,2,0
656,-3.68,87,0,0
657,-5.06,149,0,0
658,-3.62,91,0,0
659,-5.6,150,0,0
660,-2.07,59,0,0
661,-2.6,72,0,0
662,-2.0,123,3,0
663,-4.43,116,0,0
664,-1.41,37,0,0
665,-1.65,53,3,0
666,-1.53,43,0,0
667,-4.59,150,1,0
668,-1.39,37,2,0
669,-3.14,150,0,0
670,-1.13,3,0,0
671,-3.23,150,4,0
672,-3.7,150,0,0
673,-1.22,44,1,0
674,-1.01,47,0,0
675,-1.74,53,0,0
676,-1.36,39,1,0
677,-4.45,150,0,0
678,-1.13,8,0,0
679,-2.11,110,1,0
680,-2.81,59,0,0
681,-4.95,150,0,0
682,-3.34,114,0,0
683,-1.88,40,0,0
684,-3.66,123,3,0
685,-1.68,77,0,0
686,-1.45,46,0,0
687,-2.16,84,1,0
688,-1.84,45,0,0
689,-0.81,31,0,0
690,-1.25,35,0,0
691,-1.54,39,0,0
692,-5.47,150,1,0
693,-3.53,137,0,0
694,-1.33,50,0,0
695,-3.26,150,1,0
696,-3.04,110,0,0
697,-2.14,65,0,0
698,-1.2,33,0,0
699,-4.2,120,0,0
700,-3.1,117,1,0
701,-4.43,106,0,0
702,-2.05,84,0,0
703,-3.39,137,0,0
704,-1.06,82,0,0
705,-1.45,38,0,0
706,-3.31,150,2,0
707,-1.16,20,0,0
708,-0.4,34,0,0
709,-2.03,50,0,0
710,-1.8,90,4,0
711,-1.81,81,3,0
712,-2.49,134,0,0
713,-2.84,88,0,0
714,-0.29,34,0,0
715,-2.96,79,0,0
716,-4.37,130,2,0
717,-1.9,45,0,0
718,-1.68,107,1,0
719,-1.43,45,0,0
720,-2.33,101,1,0
721,-1.45,39,0,0
722,-1.16,8,0,0
723,-3.56,150,0,0
724,-1.73,42,0,0
725,-3.99,150,2,0
726,-4.04,111,0,0
727,-1.16,12,0,0
728,-3.52,80,0,0
729,-5.3,150,1,0
730,-1.46,50,2,0
731,-1.7,27,0,0
732,-2.8,54,0,0
733,-1.19,34,1,0
734,-0.6,43,2,0
735,-4.61,150,4,0
736,-1.14,9,0,0
737,-3.43,95,2,0
738,-1.25,19,0,0
739,-2.42,56,1,0
740,-4.94,150,0,0
741,-4.02,150,1,0
742,-1.19,12,0,0
743,-2.36,92,1,0
744,-3.63,150,1,0
745,-4.62,150,0,0
746,-1.53,95,4,0
747,-1.22,7,0,0
748,-4.1,150,0,0
749,-3.83,150,0,0
750,-3.03,150,0,0
751,-1.99,130,1,0
752,-1.84,72,0,0
753,-2.59,74,0,0
754,-1.18,17,0,0
755,-5.38,115,0,0
756,-2.34,37,0,0
757,-1.14,14,0,0
758,-3.53,111,1,0
759,-0.83,36,1,0
760,-4.84,150,1,0
761,-4.45,150,1,0
762,-1.77,83,1,0
763,-2.45,71,0,0
764,-0.83,39,1,0
765,-1.7,56,0,0
766,-0.67,34,2,0
767,-5.07,123,0,0
768,-0.76,46,0,0
769,-2.36,45,0,0
770,-2.28,38,0,0
771,-3.26,86,0,0
772,-2.92,76,0,0
773,-1.69,67,0,0
774,-3.3,139,0,0
775,-1.57,28,0,0
776,-2.24,129,0,0
777,-1.57,106,2,0
778,-0.67,71,3,0
